55242 91467
1 41301 819
1 26035 268
1 41294 792
2 41692 259
2 41690 291
2 41696 342
3 42670 433
3 42665 552
3 42664 219
4 1307 85
4 5 138
4 1003 86
5 1719 86
5 1004 85
5 6 134
6 1720 85
6 7 271
6 1005 86
7 1006 86
7 44332 199
7 1721 85
8 44332 22
8 9 55
8 54943 93
8 428 95
9 10 142
9 818 85
9 819 86
10 1007 85
10 1722 86
11 2292 86
11 12 271
11 2281 79
12 2141 81
12 2140 86
12 54889 150
13 54889 19
13 405 86
13 14 105
13 406 81
14 796 80
14 795 86
14 15 127
15 63 87
15 2090 82
16 2309 267
16 238 249
16 494 153
16 53656 29
17 18 239
17 2308 201
17 53656 124
18 19 127
18 2308 66
19 49669 215
19 2757 90
20 1298 80
20 120 80
20 21 273
21 1649 80
21 22 271
21 2293 80
22 2142 81
22 1650 80
22 54892 148
23 54892 17
23 408 80
23 24 109
23 409 81
24 798 80
24 799 80
24 25 215
25 1651 89
25 2089 88
26 778 101
26 777 127
26 2606 254
27 43086 261
27 2163 96
27 1829 171
28 29 85
28 43086 22
28 44983 246
28 437 169
29 2277 171
29 44617 244
30 31 310
30 1730 77
30 769 73
30 2769 156
31 952 42
31 664 81
31 663 60
32 35 27
32 2996 150
32 33 61
33 34 73
33 2919 78
34 2363 77
34 36 23
34 41964 37
35 268 66
35 910 253
35 36 129
36 49007 162
36 41964 28
37 51094 79
37 44344 91
37 49367 124
38 44344 21
38 391 93
38 39 156
38 392 91
39 44441 79
39 44440 78
40 52143 78
40 47930 80
40 41 275
40 44442 77
41 48376 99
41 782 79
41 45986 79
42 43 274
42 844 81
42 52175 79
43 44 271
43 1741 79
43 1615 79
44 44343 130
44 1616 79
44 1742 79
45 46 127
45 412 79
45 413 79
45 44343 16
46 47 213
46 802 79
46 803 78
47 1743 90
47 1617 90
48 1668 173
48 44278 30
48 41183 108
49 2964 305
49 41183 25
49 51757 61
50 1749 86
50 51 106
50 1238 46
51 52 117
51 355 46
51 356 86
52 3036 63
52 53 136
52 1237 69
53 51597 88
53 2735 37
53 1240 48
54 55 72
54 48934 56
54 53941 154
55 56 80
55 48826 27
56 41995 358
56 73 76
57 724 85
57 1215 267
57 41173 35
58 41802 341
58 2871 866
58 41171 745
59 1091 101
59 41807 15
59 49014 158
59 50374 105
59 41802 191
60 3137 1005
60 68 544
60 53272 330
61 41995 260
61 145 328
61 41996 453
62 3130 109
62 41975 104
62 43274 262
63 53272 18
63 305 88
63 795 142
64 3002 77
64 2809 146
64 3078 78
64 51494 115
65 3022 61
65 1275 79
65 54986 20
65 2223 76
65 2824 217
66 2866 101
66 79 530
66 781 155
67 3017 29
67 41970 274
67 3121 28
67 41967 423
68 53272 275
68 41029 242
69 2585 139
69 1579 84
69 2191 86
69 40965 303
70 43365 44
70 2192 77
70 2902 139
71 73 68
71 72 90
71 48828 309
72 1181 14
72 140 82
72 1182 197
73 41997 195
73 2273 16
74 54218 21
74 1707 176
74 110 164
74 43276 15
75 41965 277
75 2866 362
75 54218 62
76 41967 732
76 2871 1031
76 43251 269
77 49571 3
77 78 116
77 121 71
77 651 112
77 49576 70
78 109 12
78 49576 101
79 2880 114
79 41973 1034
80 81 84
80 47206 153
80 1019 76
81 3083 151
81 48810 46
81 48809 64
82 45335 252
82 45334 246
82 41451 1934
83 49369 164
83 708 273
83 1971 83
84 3084 135
84 51904 80
84 2239 95
84 43314 1868
85 150 117
85 41974 273
85 49340 232
86 88 59
86 2598 85
86 55068 105
87 43323 26
87 2598 79
87 3073 96
88 48100 991
88 42083 50
89 42084 96
89 2597 76
89 1147 82
89 2412 273
90 41991 236
90 49664 28
90 41990 220
90 49666 28
90 51644 91
91 43333 121
91 789 115
91 987 88
92 41982 36
92 41983 139
92 2238 79
92 45333 43
92 49343 215
93 2715 131
93 94 116
93 1121 152
94 155 533
94 1121 214
95 96 122
95 49505 101
95 2864 91
96 1808 249
96 1120 1364
97 1815 274
97 1297 85
97 263 324
98 43286 29
98 43287 65
98 153 85
98 1765 142
99 103 132
99 100 133
100 108 91
100 101 36
101 48989 92
101 102 25
102 48470 99
102 49663 156
103 1486 73
103 1442 130
103 1477 73
104 843 168
104 2298 274
104 1303 86
104 126 89
105 129 148
105 43279 146
105 106 110
106 50254 45
106 50255 54
107 50255 18
107 43280 158
107 42012 45
108 1477 80
108 48989 134
108 1260 130
108 1485 72
109 139 66
109 55166 100
110 1346 68
110 2929 81
111 269 78
111 48807 134
111 2719 79
111 51498 215
112 127 15
112 113 401
112 1173 56
113 43180 1189
113 122 1660
114 542 74
114 115 140
114 127 78
115 44229 29
115 43341 79
116 48472 5
116 41234 353
116 44229 68
117 43293 143
117 2677 79
117 118 59
117 2678 79
118 42009 297
118 41998 64
119 1243 86
119 2413 118
119 2597 154
119 43326 58
120 2293 273
120 52174 86
121 644 101
121 1532 69
122 55185 951
122 43169 1630
123 52348 23
123 43341 61
123 55185 5
124 598 14
124 2590 61
124 2963 435
125 1834 80
125 710 153
125 1264 79
126 2299 274
126 132 232
126 843 142
127 41233 305
128 43346 86
128 43349 321
128 45970 18
128 53270 520
129 154 1047
129 2388 1149
130 131 119
130 43284 204
130 43286 122
131 42011 130
131 154 461
132 1304 82
132 2686 137
133 1614 485
133 51598 297
133 41996 227
134 51784 121
134 140 108
134 51598 325
135 42012 30
135 50252 27
135 50253 10
136 885 133
136 42021 156
136 45283 9
137 52180 112
137 190 159
137 52182 93
138 42019 33
139 49571 119
139 48860 40
140 48829 28
140 2274 31
141 48028 12
141 43370 256
141 2615 76
142 48821 23
142 44444 357
142 2753 24
143 42008 582
143 147 211
143 49467 485
143 42013 348
144 1161 59
144 41826 80
144 2371 77
144 41963 154
145 41994 271
145 42009 518
146 43564 195
146 3091 91
146 1236 171
147 50250 383
147 42013 194
148 45259 36
148 3000 72
148 51481 35
148 53593 17
149 2865 160
149 45261 81
149 51188 125
150 52184 47
150 41973 901
151 43273 121
151 52184 12
151 52185 20
152 48714 101
152 48830 71
152 41998 81
153 154 109
153 48029 275
155 41992 110
155 1122 668
156 40953 176
156 2194 49
156 306 40
157 279 203
157 2863 172
157 158 169
158 1808 40
158 43563 44
159 2702 160
159 50637 960
160 43114 18
160 462 79
160 161 132
160 463 79
161 463 88
161 162 80
161 43172 215
162 2094 226
162 163 82
162 464 106
163 465 125
163 164 78
163 2095 176
164 2096 173
164 165 82
164 466 142
165 166 118
165 467 157
166 46714 105
166 468 184
166 167 227
167 168 77
167 470 233
168 169 77
168 2704 89
168 46710 250
169 170 78
169 472 229
169 2810 104
170 1280 127
170 171 77
170 473 189
171 474 171
171 172 79
171 2811 149
172 534 202
172 173 77
172 475 159
173 476 149
173 174 56
174 175 79
174 477 140
175 478 134
175 176 73
175 630 79
176 40995 97
176 3140 79
176 479 129
177 40998 79
177 178 105
177 310 196
177 311 85
178 780 82
178 179 141
178 2358 85
179 180 142
179 780 224
179 1756 82
180 3004 81
180 181 197
181 45280 77
181 182 248
182 1475 308
182 53898 249
182 317 86
183 184 215
183 3100 73
183 44559 30
184 3152 35
184 3118 75
185 186 95
185 2374 41
185 519 44
186 187 58
186 3037 37
186 2008 77
187 188 90
187 2921 34
187 2009 70
188 2010 65
188 2365 30
189 49503 60
189 53735 11
189 53734 65
190 2462 92
190 191 75
190 49503 158
191 2463 90
191 192 150
191 52180 90
192 193 89
192 2465 77
193 194 51
193 2685 76
193 2466 72
194 195 87
194 51098 69
194 2052 74
195 196 30
195 2484 61
196 197 115
196 1903 62
197 1853 41
197 198 135
197 2467 56
198 634 73
198 946 56
198 947 28
199 54638 7
199 200 111
199 2016 222
199 54637 82
200 201 66
200 929 80
201 202 57
201 1341 74
201 1340 77
202 593 77
202 52297 31
202 49345 38
203 1618 79
203 204 136
203 52297 105
204 52307 135
204 205 141
204 925 77
205 45431 14
205 2817 231
205 45432 75
206 320 116
206 3015 73
206 207 309
206 2330 76
207 672 75
207 208 273
207 671 74
208 1927 75
208 209 274
208 1928 75
209 51248 75
209 210 277
209 1354 73
210 2406 73
210 211 269
210 2331 75
211 212 226
211 2332 75
211 3016 74
212 2333 79
212 49678 78
213 54142 8
213 214 74
213 54141 42
214 41258 59
214 2037 78
214 49003 64
214 54142 74
215 324 309
215 675 78
215 216 273
215 674 83
216 1716 83
216 217 273
216 1929 78
217 1356 77
217 218 293
217 1355 83
218 1717 82
218 219 271
218 2407 78
219 2984 78
219 1718 83
219 51103 334
220 41176 17
220 2447 169
220 41175 166
220 55089 238
221 2404 77
221 40947 145
221 222 132
222 45045 21
222 45049 89
222 509 81
223 1564 87
223 224 79
223 1033 69
224 225 79
224 2737 128
225 2738 168
225 226 79
226 2739 203
226 227 452
227 1813 108
227 228 495
228 1156 131
228 1813 396
228 2700 78
229 2900 84
229 52296 38
229 230 77
230 52276 149
230 914 260
230 1707 121
231 41966 205
231 52276 76
231 1255 227
232 1014 86
232 2542 155
232 233 59
232 51096 79
233 707 250
233 49365 82
234 1114 80
234 1728 79
234 235 134
235 45279 80
235 1082 53
235 236 97
236 1082 113
